,0
0,aabbottt
1,Apeks
2,adicks
3,BomberJjr
4,efgreene22
5,Bthirsty1990
6,Klove8192
7,Samantha_M
8,angrygabe
9,K.connors
10,fab_ben
11,Dgerzofsky
12,greensox533
13,bmshirley
14,Emapjohn
15,Michelle g
16,coreysullivan
17,Getloose!
18,stephenfagone
19,dlattuada
20,Van D. 
21,jmetrano 
22,tjorfan 
23,crafthunter423
24,cgmulcare
25,the wheel
26,krweishaar
27,Hscharff
28,drinknicebeer
29,asobon
30,DIPA-Sippa
31,Dakota231987
32,MJCarr77
33,hraulq
34,Kmul350
35,Mkachur1992
36,benn egan
37,Cwguy5
38,ssmooney
39,lpb214
40,deeflynn
41,jonahp97
42,ChetIV
43,FinnFonn
44,A_orozco10
45,NordyBeerLover
46,Ragezane
47,pakh21
48,bhackett14
49,EvDu The RI Brewmonger
50,Mattbighouse 
51,purehero
